dbn,sqrEnrollment,econNeedInd,grd8Ela,grd8Math,attdRate,pctChronAbs,sqrYear,pct10PlusYear1,pct10PlusYear1Lowest3rd,pct10PlusYear2,pct10PlusYear2Lowest3rd,pct10PlusYear3,pct10PlusYear3Lowest3rd,numYear1,numYear1Lowest3rd,numYear2,numYear2Lowest3rd,numYear3,numYear3Lowest3rd,numGradLowest3rd,numPERLowest3rd,pctCCPCILowest3rd,pctCollegeReadyLowest3rd,pctGradLowest3rd,pctPERLowest3rd,pctGradLevel1,pctGradLevel2,pctGradLevel34,numGradLevel1,numGradLevel2,numGradLevel34
08X305,315.0,0.803,2.05,1.96,0.842,0.447,2015,0.839,0.882,0.693,0.667,0.602,0.458,,,,,,,,,0.043,0.022,0.826,0.319,,,,,,
08X312,487.0,0.785,2.26,2.11,0.855,0.436,2015,0.748,0.605,0.704,0.462,0.672,0.629,,,,,,,,,0.016,0.016,1.274,0.26,,,,,,
08X320,211.0,0.783,2.17,2.15,0.903,0.345,2015,0.771,0.677,0.73,0.429,,,,,,,,,,,,,,,,,,,,
08X332,236.0,0.836,2.06,1.99,0.85,0.45,2015,0.652,0.333,0.465,0.2,0.652,0.579,,,,,,,,,0.189,0.189,1.27,0.167,,,,,,
08X348,177.0,0.75,2.32,2.14,0.9,0.348,2015,0.559,0.367,0.506,0.316,,,,,,,,,,,,,,,,,,,,
08X349,204.0,0.758,2.18,2.06,0.875,0.441,2015,0.788,0.75,0.732,0.444,,,,,,,,,,,,,,,,,,,,
08X367,637.0,0.723,2.25,2.16,0.877,0.365,2015,0.674,0.448,0.766,0.667,0.656,0.393,,,,,,,,,0.0,0.065,0.88,0.178,,,,,,
08X376,450.0,0.756,2.2,2.05,0.809,0.521,2015,0.625,0.467,0.574,0.533,0.561,0.421,,,,,,,,,0.0,0.0,0.667,0.143,,,,,,
08X405,1535.0,0.707,2.25,2.13,0.794,0.521,2015,0.599,0.297,0.606,0.372,0.514,0.224,,,,,,,,,0.15,0.018,0.711,0.176,,,,,,
08X432,333.0,0.834,1.8,1.98,0.832,0.54,2015,0.727,0.632,0.648,0.545,0.698,0.667,,,,,,,,,0.138,0.017,1.483,0.341,,,,,,
08X452,326.0,0.821,2.17,1.98,0.742,0.728,2015,0.9,0.76,0.724,0.417,0.699,0.545,,,,,,,,,0.0,0.0,1.218,0.244,,,,,,
08X519,307.0,0.821,2.13,1.98,0.793,0.569,2015,0.543,0.467,0.627,0.45,0.628,0.5,,,,,,,,,0.059,0.02,1.0,0.145,,,,,,
08X530,325.0,0.851,2.02,1.94,0.715,0.746,2015,0.673,0.563,0.571,0.533,0.539,0.44,,,,,,,,,0.154,0.138,1.223,0.2,,,,,,
08X558,396.0,0.701,2.37,2.19,0.865,0.423,2015,0.852,0.733,0.745,0.581,0.677,0.387,,,,,,,,,,,,,,,,,,
08X559,240.0,0.847,2.13,2.06,0.831,0.489,2015,0.821,0.667,0.778,0.571,0.739,0.607,,,,,,,,,,,,,,,,,,
08X561,332.0,0.788,2.26,2.1,0.802,0.606,2015,0.687,0.459,0.63,0.323,0.121,0.107,,,,,,,,,,,,,,,,,,
08X650,147.0,0.843,2.03,2.07,0.707,0.757,2015,,,,,,,,,,,,,,,0.0,0.02,1.041,0.08,,,,,,
09X227,382.0,0.833,2.09,2.01,0.801,0.576,2015,0.841,0.839,0.544,0.484,0.469,0.143,,,,,,,,,0.135,0.038,1.279,0.238,,,,,,
09X231,608.0,0.705,2.24,2.15,0.861,0.397,2015,0.741,0.517,0.63,0.556,0.744,0.8,,,,,,,,,0.075,0.05,1.2,0.488,,,,,,
09X241,619.0,0.822,2.33,2.42,0.896,0.337,2015,0.817,0.742,0.851,0.71,0.741,0.577,,,,,,,,,0.563,0.0,2.375,0.371,,,,,,
09X250,449.0,0.796,2.33,2.23,0.893,0.346,2015,0.87,0.694,0.838,0.818,0.786,0.786,,,,,,,,,0.102,0.102,2.52,0.606,,,,,,
09X252,402.0,0.84,2.26,2.28,0.859,0.413,2015,0.896,0.667,0.738,0.469,0.731,0.5,,,,,,,,,0.08,0.0,2.08,0.368,,,,,,
09X260,457.0,0.753,2.74,2.64,0.92,0.268,2015,0.933,0.833,0.882,0.784,0.894,0.765,,,,,,,,,0.056,0.056,2.333,0.313,,,,,,
09X263,375.0,0.837,2.17,2.17,0.843,0.435,2015,0.78,0.68,0.663,0.357,0.798,0.607,,,,,,,,,0.118,0.029,0.853,0.238,,,,,,
09X276,207.0,0.902,2.02,1.95,0.749,0.631,2015,0.773,0.688,0.51,0.467,0.585,0.333,,,,,,,,,0.033,0.0,0.267,0.214,,,,,,
09X297,471.0,0.85,2.14,2.0,0.796,0.565,2015,0.818,0.719,0.673,0.469,0.612,0.484,,,,,,,,,0.027,0.041,1.338,0.208,,,,,,
09X324,503.0,0.819,2.41,2.23,0.858,0.444,2015,0.968,0.95,0.902,0.889,0.87,0.739,,,,,,,,,0.286,0.048,2.381,0.542,,,,,,
09X327,628.0,0.862,2.49,2.76,0.903,0.274,2015,0.866,0.75,0.787,0.611,0.823,0.692,,,,,,,,,,,,,,,,,,
