type,desc,zip,boroughBlockLot,censusTract,geoDis,dbn
General Academic,K-8,10039,1021060050.0,24302.0,5,05M046
General Academic,Elementary,10030,1019390011.0,22600.0,5,05M092
General Academic,K-8,10030,1020420035.0,22102.0,5,05M123
General Academic,Elementary,10027,1019640012.0,20901.0,5,05M125
General Academic,K-8,10027,1019570010.0,21703.0,5,05M129
General Academic,Elementary,10037,1017550001.0,20600.0,5,05M133
General Academic,Secondary School,10030,1019600001.0,22102.0,5,05M148
General Academic,Elementary,10027,1019320010.0,22400.0,5,05M154
Career Technical,High school,10035,1017520022.0,20600.0,5,05M157
General Academic,K-8,10027,1019710001.0,21303.0,5,05M161
General Academic,Elementary,10030,1019190006.0,22800.0,5,05M175
General Academic,Elementary,10030,1020290011.0,23200.0,5,05M194
General Academic,Elementary,10037,1017330017.0,21200.0,5,05M197
General Academic,Elementary,10039,1020160100.0,23600.0,5,05M200
Transfer School,High school,10035,1017520059.0,20600.0,5,05M285
General Academic,Junior High-Intermediate-Middle,10027,1019840033.0,21900.0,5,05M286
General Academic,High school,10030,1019600001.0,22102.0,5,05M304
General Academic,Elementary,10039,1020360047.0,23600.0,5,05M318
General Academic,Secondary School,10027,1019640012.0,20901.0,5,05M362
General Academic,High school,10027,1019840033.0,21900.0,5,05M369
General Academic,Junior High-Intermediate-Middle,10027,1019570010.0,21703.0,5,05M371
General Academic,Secondary School,10039,1020160100.0,23600.0,5,05M499
General Academic,Junior High-Intermediate-Middle,10027,1020010005.0,22302.0,5,05M514
General Academic,K-8,10027,1019670024.0,21303.0,5,05M517
General Academic,Secondary School,10030,1019400035.0,22800.0,5,05M670
General Academic,High school,10031,1019570200.0,21703.0,6,05M692
General Academic,Elementary,10032,1021180022.0,24500.0,6,06M004
General Academic,Elementary,10034,1021500030.0,29900.0,6,06M005
General Academic,Elementary,10032,1021120001.0,24900.0,6,06M008
General Academic,K-8,10034,1022150824.0,29900.0,6,06M018
General Academic,Elementary,10032,1021070026.0,23900.0,6,06M028
General Academic,Elementary,10033,1021670029.0,27100.0,6,06M048
General Academic,Junior High-Intermediate-Middle,10034,1022330020.0,29100.0,6,06M052
General Academic,Elementary,10034,1022290012.0,30300.0,6,06M098
General Academic,Elementary,10033,1021650026.0,27100.0,6,06M103
General Academic,Elementary,10033,1021330040.0,26100.0,6,06M115
General Academic,Elementary,10032,1021250001.0,25100.0,6,06M128
General Academic,Elementary,10033,1021650026.0,27100.0,6,06M132
General Academic,Junior High-Intermediate-Middle,10033,1021550035.0,26900.0,6,06M143
General Academic,Elementary,10040,1021730001.0,28300.0,6,06M152
General Academic,Elementary,10031,1020780019.0,23300.0,6,06M153
