dbn,schoolName,cohortYear,cohort,numTotalCohort,numGrads,pctGrad
01M458,FORSYTH SATELLITE ACADEMY,2008,4 year June,102,6.0,0.05882352829
01M458,FORSYTH SATELLITE ACADEMY,2007,4 year June,106,6.0,0.056603775020000004
01M458,FORSYTH SATELLITE ACADEMY,2015,5 year August,86,48.0,0.558139534
01M458,FORSYTH SATELLITE ACADEMY,2014,5 year August,83,41.0,0.4939759064
01M458,FORSYTH SATELLITE ACADEMY,2013,5 year August,114,41.0,0.35964912409999994
01M458,FORSYTH SATELLITE ACADEMY,2012,5 year August,83,40.0,0.4819277191
01M458,FORSYTH SATELLITE ACADEMY,2011,5 year August,103,39.0,0.3786407852
01M458,FORSYTH SATELLITE ACADEMY,2010,5 year August,104,28.0,0.2692307663
01M458,FORSYTH SATELLITE ACADEMY,2009,5 year August,121,28.0,0.23140495300000002
01M458,FORSYTH SATELLITE ACADEMY,2008,5 year August,109,15.0,0.13761467930000001
01M458,FORSYTH SATELLITE ACADEMY,2007,5 year August,118,20.0,0.1694915199
01M458,FORSYTH SATELLITE ACADEMY,2006,5 year August,84,20.0,0.23809524540000002
01M458,FORSYTH SATELLITE ACADEMY,2015,5 year June,86,48.0,0.558139534
01M458,FORSYTH SATELLITE ACADEMY,2014,5 year June,83,41.0,0.4939759064
01M458,FORSYTH SATELLITE ACADEMY,2013,5 year June,114,36.0,0.3157894707
01M458,FORSYTH SATELLITE ACADEMY,2012,5 year June,83,37.0,0.44578311919999997
01M458,FORSYTH SATELLITE ACADEMY,2011,5 year June,103,35.0,0.33980583189999997
01M458,FORSYTH SATELLITE ACADEMY,2010,5 year June,104,24.0,0.2307692337
01M458,FORSYTH SATELLITE ACADEMY,2009,5 year June,121,23.0,0.1900826454
01M458,FORSYTH SATELLITE ACADEMY,2008,5 year June,109,14.0,0.1284403706
01M458,FORSYTH SATELLITE ACADEMY,2007,5 year June,118,17.0,0.1440677929
01M458,FORSYTH SATELLITE ACADEMY,2006,5 year June,84,17.0,0.2023809433
01M458,FORSYTH SATELLITE ACADEMY,2014,6 year June,85,55.0,0.6470587921000001
01M458,FORSYTH SATELLITE ACADEMY,2013,6 year June,117,52.0,0.4444444275
01M458,FORSYTH SATELLITE ACADEMY,2012,6 year June,88,47.0,0.5340909195
01M458,FORSYTH SATELLITE ACADEMY,2011,6 year June,106,51.0,0.4811320877
01M458,FORSYTH SATELLITE ACADEMY,2010,6 year June,107,34.0,0.3177570152
01M458,FORSYTH SATELLITE ACADEMY,2009,6 year June,118,41.0,0.3474576187
01M458,FORSYTH SATELLITE ACADEMY,2008,6 year June,110,22.0,0.2
01M458,FORSYTH SATELLITE ACADEMY,2007,6 year June,120,29.0,0.24166666029999997
01M458,FORSYTH SATELLITE ACADEMY,2006,6 year June,84,21.0,0.25
01M458,FORSYTH SATELLITE ACADEMY,2005,6 year June,9,5.0,0.5555555725
01M509,MARTA VALLE HIGH SCHOOL,2016,4 year August,25,18.0,0.72
01M509,MARTA VALLE HIGH SCHOOL,2015,4 year August,38,33.0,0.8684210204999999
01M509,MARTA VALLE HIGH SCHOOL,2014,4 year August,42,27.0,0.642857132
01M509,MARTA VALLE HIGH SCHOOL,2013,4 year August,59,43.0,0.7288135529
01M509,MARTA VALLE HIGH SCHOOL,2012,4 year August,74,44.0,0.5945946121
01M509,MARTA VALLE HIGH SCHOOL,2011,4 year August,102,48.0,0.4705882263
01M509,MARTA VALLE HIGH SCHOOL,2010,4 year August,59,29.0,0.49152542109999997
01M509,MARTA VALLE HIGH SCHOOL,2009,4 year August,72,26.0,0.3611111069
01M509,MARTA VALLE HIGH SCHOOL,2008,4 year August,82,49.0,0.5975609588999999
01M509,MARTA VALLE HIGH SCHOOL,2007,4 year August,95,53.0,0.5578947449
01M509,MARTA VALLE HIGH SCHOOL,2006,4 year August,84,50.0,0.5952381134
01M509,MARTA VALLE HIGH SCHOOL,2005,4 year August,88,57.0,0.6477272797000001
01M509,MARTA VALLE HIGH SCHOOL,2016,4 year June,25,18.0,0.72
01M509,MARTA VALLE HIGH SCHOOL,2015,4 year June,38,33.0,0.8684210204999999
01M509,MARTA VALLE HIGH SCHOOL,2014,4 year June,42,27.0,0.642857132
01M509,MARTA VALLE HIGH SCHOOL,2013,4 year June,59,39.0,0.6610169220000001
01M509,MARTA VALLE HIGH SCHOOL,2012,4 year June,74,43.0,0.5810810852
01M509,MARTA VALLE HIGH SCHOOL,2011,4 year June,102,45.0,0.44117645260000005
01M509,MARTA VALLE HIGH SCHOOL,2010,4 year June,59,26.0,0.44067794800000004
01M509,MARTA VALLE HIGH SCHOOL,2009,4 year June,72,25.0,0.3472222137
01M509,MARTA VALLE HIGH SCHOOL,2008,4 year June,82,44.0,0.53658535
